name,lat,lon,type,id,amenity,shop,tourism
"Fevzi Çakmak","39.9034899","32.6383606","node","10616749562","","","artwork"
"Fahrettin Altay","39.9034847","32.6384826","node","10616749563","","","artwork"
"IV. Murat","39.9034775","32.6386449","node","10616749564","","","artwork"
"Kanuni Sultan Süleyman","39.9034726","32.6387658","node","10616749565","","","artwork"
"Yıldırım Bayezid","39.9034546","32.6391042","node","10616749566","","","artwork"
"Kutalmışoğlu Süleyman Şah","39.9034523","32.6392292","node","10616749567","","","artwork"
"Yavuz Sultan Selim","39.9033408","32.639092","node","10616749568","","","artwork"
"Şeyh Edebali","39.9033361","32.6392191","node","10616749569","","","artwork"
"Kül Tigin","39.9034289","32.6395839","node","10616749570","","","artwork"
"Kapgan Kağan","39.9033127","32.6396744","node","10616749571","","","artwork"
"Tonyukuk","39.9033107","32.6397885","node","10616749572","","","artwork"
"Kutluk Kağan","39.9034157","32.639835","node","10616749573","","","artwork"
"İşbara Kağan","39.9032818","32.6401518","node","10616749576","","","artwork"
"Asena Hatun","39.9033991","32.6401214","node","10616749577","","","artwork"
"Taspar Kağan","39.9033973","32.6402411","node","10616749578","","","artwork"
"Mukan Kağan","39.9032791","32.6402621","node","10616749579","","","artwork"
"Tomris Hatun","39.9033906","32.6403514","node","10616749580","","","artwork"
"Zübeyde Hanım","39.9036543","32.6380259","node","10616749601","","","artwork"
"Mustafa Kemal Atatürk","39.9036347","32.6384671","node","10616749603","","","artwork"
"Akşemseddin","39.9036162","32.6387373","node","10616749604","","","artwork"
"Fatih Sultan Mehmet","39.9035915","32.6391973","node","10616753905","","","artwork"
"Bozkurt","39.9035771","32.6394602","node","10616753906","","","artwork"
"İstemi Yabgu","39.9035534","32.6399027","node","10616753907","","","artwork"
"Nursultan Nazarbayev","39.9030824","32.6400436","node","10616753912","","","artwork"
"Mehmet Emin Resulzade","39.9030546","32.6400238","node","10616753913","","","artwork"
"İslam Kerimov","39.9030292","32.6400207","node","10616753914","","","artwork"
"Mustafa Kemal Atatürk","39.9030014","32.6400307","node","10616753915","","","artwork"
"Rauf Denktaş","39.9029763","32.6400567","node","10616753916","","","artwork"
"Saparmurat Niyazov Türkmenbaşı","39.9029659","32.6400917","node","10616753917","","","artwork"
"Cusup Abdırahmanov","39.9029624","32.6401348","node","10616753918","","","artwork"
"Dede Korkut","39.9031457","32.6395028","node","10616753919","","","artwork"
"Hacı Bektaş-ı Veli","39.9030812","32.6393875","node","10616753920","","","artwork"
"Yunus Emre","39.9029684","32.6391934","node","10616753921","","","artwork"
"Mevlana","39.9029057","32.6393328","node","10616753922","","","artwork"
"Hoca Ahmet Yesevi","39.9028998","32.6394692","node","10616753923","","","artwork"
"Yusuf Has Hacip","39.9028933","32.6395978","node","10616753924","","","artwork"
"Kaşgarlı Mahmut","39.9028898","32.6397241","node","10616753925","","","artwork"
"İbni Sina","39.9028845","32.6398505","node","10616753926","","","artwork"
"Piri Reis","39.9028809","32.639986","node","10616753927","","","artwork"
"Ali Kuşçu","39.9028726","32.6401123","node","10616753928","","","artwork"
"Mimar Sinan","39.9027592","32.640053","node","10616753929","","","artwork"
"Harezmi","39.9027691","32.6399254","node","10616753930","","","artwork"
"Katip Çelebi","39.9027734","32.6397978","node","10616753931","","","artwork"
"Farabi","39.9027952","32.6394122","node","10616753932","","","artwork"
"Ali Şir Nevai","39.9028005","32.639282","node","10616753933","","","artwork"
"Hacı Bayram-ı Veli","39.9028082","32.6391449","node","10616753934","","","artwork"
"Bilge Kağan","39.9030113","32.6404333","node","10616753935","","","artwork"
"Bilge Hatun","39.9031287","32.640481","node","10616753936","","","artwork"
"Abay Kunanbayev","39.9030359","32.6397413","node","10616753939","","","artwork"
"Cengiz Aytmatov","39.9030146","32.6397075","node","10616753940","","","artwork"
"Mahtumkulu Firaki","39.9030116","32.6396727","node","10616753941","","","artwork"
"İsmail Gaspıralı","39.9030223","32.6396442","node","10616753942","","","artwork"
"Ahmet Cevat","39.9030476","32.6396247","node","10616753943","","","artwork"
"Fuzuli","39.9027854","32.6395438","node","10616753944","","","artwork"
"Akhun Kağan","39.9028755","32.6384899","node","10616753946","","","artwork"
"Atilla","39.9028383","32.6386084","node","10616753947","","","artwork"
"Barış Manço","39.9030645","32.6381453","node","10616753948","","","artwork"
"Neşet Ertaş","39.903149","32.6381519","node","10616753949","","","artwork"
"Aşık Veysel","39.9031211","32.6380702","node","10616753950","","","artwork"
"Mustafa Kemal Atatürk","39.9030554","32.6374196","node","10616753951","","","artwork"
"Süleyman Çolpan","39.9030524","32.6397501","node","10616753961","","","artwork"
